year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/07,Grays Harbor,101357765,10304312,3071492,6269839,241486907,387077,5378662,992716,36730565,136593,5221341,1048763,24198473,8548457,0,14769819,214513121.5,2777820.5,185746,51308538
1/1/07,Island,69715248,25262005,1900951,12040074,275784222,1439471,5345336,1140100,37727904,15469,6295327.667,572756,21522555,12118251,0,13478919,172666127.5,3179162.5,2297903,32651019
1/1/07,Jefferson,50309467,6997778,1846539,5484413,103298433,763450,2251157,1749660,19826250,0,4836779,1283746,14098550,5904469,0,6035833,59601510,715836,51464,23268449
1/1/07,King,4855071540,1193456294,39112685,448287069,9990228219,65763707,379925348,142253538,1933738790,9409728,399381727.7,23214213,689961069,1303708700,26045621,1402795470,9165746147,111896518.5,20125738,4204171737
1/1/07,Kitsap,281872381,61108315,1856053,28800719,762682260,2548277,23578034,9244047,159338133,446661,16487311,2414427,106898650,43228034,4660120,65768353,907895605.5,3690595.5,914698,143804416
1/1/07,Kittitas,74733054,9730860,3721722,9415190,313828929,10890829,5816429,2155150,22578483,32748,5023759.667,342063,18698801,7296230,51372,16838600,121204855,723933.5,864536,37844908
1/1/07,Klickitat,11712044,1739420,1785165,1575484,62024810,140082,2342866,217193,8639175,0,1818459.667,918433,5107591,1964889,0,3847189,20732366,989011,37265,18559054
1/1/07,Lewis,88086051,12694230,3148507,11492238,230363418,1503305,3147032,2269955,41883765,572603,10180098.67,8314557,35023122,13972420,19439,19195788,264079510,3459914,6655920,104706289
1/1/07,Lincoln,3678325,1356949,118594,602501,25514666,11296,466995,98742,4295400,0,280577,1377194,5250502,1052448,0,1089963,11841528,0,0,10546741
1/1/07,Mason,47790733,13358244,1836857,4512288,156510321,368306,6146247,1748375,26493430,18697,5146476,793180,20108991,5644787,43383,8100594,114017011,1669175.5,379866,21503368
1/1/07,Okanogan,46729560,5653703,3726975,4088538,131511034,309036,3836288,890150,17360289,3364,2267235,356303,22058204,4889066,0,6210903,112995053.5,690268,3409288,37635414
1/1/07,Pacific,33564279,2466570,722846,2634497,69585856,123720,2254090,330320,10268094,0,1299888,2107787,6312230,1839534,0,3843269,32921232,1171426,0,11892148
1/1/07,Pend Oreille,7414844,1036938,731048,281559,19651870,20344,1002792,154280,4836832,,871869,12973499,1990717,2502789,49932,1691072,13904763.5,21674.5,83527,14615816
1/1/07,Pierce,1012709060,236181188,12344000,106306028,2395676591,13572332,120445296,35485563,470506936,2887676,119875701.7,5588404,198833048.5,134169215,681674,304899588,3041516167,29193336.5,5717141,776469806
1/1/07,San Juan,57870118,12505175,2857927,5817397,140405614,270003,1922229,219490,9609438,0,2276046.333,83412,8459063,7336593,0,9718070,49861204.5,1298832,436361,11697325
1/1/07,Skagit,180532016,29803801,4096105,20935051,423685045,3543926,11543451,5822807,65505907,60807,26874793.33,2939534,62815625,23464523,282758,47658083,661539378,9224565.5,586813,202346476
1/1/07,Skamania,26475777,1072621,262312,310834,23676126,66337,922598,38139,3948301,0,274924.3333,0,1477082,419157,0,2233621,8646617.5,279013,0,3315030
1/1/07,Snohomish,952374764,201631183,6549278,82329513,2229628970,15321948,112259187,22607912,522756686,1506922,95719459.67,26801817,337531513,141897906,2185952,246795236,2879883604,16318596.5,5064984,722864494
1/1/07,Spokane,712071314,153153768,3584717,43257639,1170824246,16829320,70443067,22087849,308901585,2459162,73203540.33,2438584,118042091,107591151,6039101,188617459,1881833549,12038441,1029351,625886295
1/1/07,Stevens,23774893,4744420,1125995,5356849,70050219,388562,2579052,1360347,16298088,0,3998282.667,540806,15061173,4755197,0,4369306,92715625,282776,303733,19451044
1/1/07,Thurston,255778928,92952087,1126333,17574464,680602095,4094552,23654990,10560719,111318278,136524,22128009.67,7927374,122361648,53723457,1911193,57415507,828144638.5,2033444,547895,228898171
1/1/08,Adams,15829860,2391963,826645,623568,42738783,319259,1178197,42939,9480519,0,1360314,0,8545091,3133695,10874,3784093,34792058.5,184852,4948566,54288065
1/1/08,Asotin,23308967,6449673,63103,2608357,30228945,69822,966239,1113088,6707605,0,1151829.667,0,4129600,1282850,12631,4162333,48731052,905408,143871,14171509
1/1/08,Benton,247719511,43111878,2755822,21423233,406864886,1898130,20569603,6916255,110016076,529619,15906835.67,180286,67069355,34700664,138165,60062207,661069138.5,1179073,2957721,202704062
1/1/08,Chelan,167201613,22919456,1951569,14460816,367836330,2117002,16853797,4510295,45881520,39147,10895928,1394798,36247881,18383933,258388,33811452,310894706,2390848,4206246,135221667
1/1/08,Clallam,98117617,13106976,3264741,8748415,169351426,2035769,4341645,3727153,39139333,6452,7770282.333,1035744,34190147,10829273,147799,13531058,230120680.5,1315055.5,213367,55892841
1/1/08,Clark,465488880,97919035,15401554,46536134,912392707,10872713,44487397,17311261,234464420,590917,31951103.33,1780958,144420051,48288413,1203414,109805598,977909126.5,8368449,7625764,321783374
1/1/08,Columbia,2611664,565712,57887,1420593,10096539,10311,177322,107563,1760808,,283713.6667,0,2143292,415902,0,719442,4790080,0,160262,6323407
1/1/08,Cowlitz,126159314,17243241,1862581,9007795,160796397,3475604,6543824,3380369,56913265,103998,8385384.333,1919248,37845422,18530886,998395,30050839,333074284,2998540,727009,106485815
1/1/08,Douglas,27296015,8257063,274496,6412712,240631281,887722,2103903,618421,18942329,6240,2525259.333,186164,6758802,30798350,28092,8520938,118304451.5,523272.5,836840,71937652
1/1/08,Ferry,4146646,698619,86054,94543,10814561,27192,136148,60588,2406703,0,343818,571254,1679804,308745,19564,1166100,7687820.5,5595,0,6272021
1/1/08,Franklin,62857420,15133940,5419645,5502310,250260748,269809,5504736,1661389,37139050,275471,11259058.67,1519644,47438239,10282661,337014,40762003,191794719,2787954.5,1292530,142233702
1/1/08,Garfield,356007,173413,101398,1638,3666027,529,70196,24850,791427,,72365.33333,0,355642,166701,43562,429236,3769845.5,33583.5,0,2374284
1/1/08,Grant,103828246,20676600,4434359,9914430,388276329,1449921,9510783,2430279,46777062,2582,9807060,127023,50886854,36661722,155568,36731772,258534897,2305039,15899938,272223992
1/1/08,Grays Harbor,98990229,11925137,2715818,5964156,176874363,433581,4641133,901255,37854309,2112,5580929,2150239,27573019,8634170,99125,16365871,202178985.5,3391307.5,88027,61693981
1/1/08,Island,72851702,24713658,1214095,12005369,207018453,1487013,4543267,1346893,41084724,19203,6390944.667,370851,21955542,11521035,164981,12460594,155287161.5,2185531.5,2164710,41335759
1/1/08,Jefferson,47710671,7281457,1946337,5470370,98435712,662693,2097811,1658380,18356213,12398,6265949,1185752,14784640,5183257,122467,5385335,58660442,622086,60306,28408985
1/1/08,King,4909338749,1150607191,35980615,470152641,10063446587,69824356,356812351,153895642,1973675822,7330560,352919221.3,22103997,688633848,1306590728,22304221,1324386757,8524095276,111977879,16621283,3565765855
1/1/08,Kitsap,288634973,58276773,2430977,29306463,617830308,2618961,21372754,10711531,158055497,41032,17030303,1668090,100275200,39923402,5264906,61646719,850001102.5,3154595.5,1680279,159296661
1/1/08,Kittitas,76990777,9757529,3765143,13292900,261749072,13567712,4761758,2314452,23381234,29737,5260998.667,268305,17856636,7481938,192098,15040285,114596942,1887924.5,669181,40650145
1/1/08,Klickitat,12138220,2642392,1569574,1681338,64831293,165549,1825827,211264,9226496,0,1803085.333,1485103,5184759,1874426,156183,7698824,22155888,1585676,264592,23042518
1/1/08,Lewis,88983612,10972749,3061992,11632342,320319141,1614320,3508870,2595963,44402557,363130,11365007.33,4565362,45196926,13350225,193520,19312378,253803719.5,10777082,13458769,113556106
1/1/08,Lincoln,5239004,1344548,212477,391431,23848138,10931,575438,85977,4913716,0,480995.3333,1293687,7081799,1564214,15925,1187715,12535705.5,230166,267393,13778002
1/1/08,Mason,47458234,11325021,1676818,4125402,152661402,264316,3726132,1956179,28049244,87886,5332469,796212,18383570,4860399,230763,8902094,107749970.5,1549368.5,267576,27632921
1/1/08,Okanogan,47639522,5485388,3297037,4572297,102827341,305615,3012325,987046,17968832,3219,2622760.667,714479,22377791,4451222,47141,7555672,118388016.5,1171328.5,2704060,47192476
1/1/08,Pacific,32863830,2947962,641435,3067471,74849458,114736,2511986,337657,10785504,0,1449778,2136316,5968145,1707703,53893,3983569,35946667.5,1099842.5,0,12806880
1/1/08,Pend Oreille,7297834,1526344,549793,275549,21159900,77119,690917,161496,5305778,,991304.6667,8004798,2448846,862588,47144,1547340,15543717.5,25588,2583571,17318382
1/1/08,Pierce,1039110533,203878930,8503173,112909013,2263281072,15566890,111129481,38413506,492134490,2182066,87306032.67,5091337,185057805.5,129067005,2581965,308045374,2775741608,21396704.5,4920040,747715637
1/1/08,San Juan,57142160,13539934,2748689,6200277,156974040,237976,2676477,253759,10160810,11803,1821168,86374,8032126,5612157,0,7443486,47587773,1891942,560033,12926102
1/1/08,Skagit,181224270,28072032,2692109,19298158,355140910,3658551,9729216,6580295,69873144,167678,24782119.33,1027839,62673224,23549207,247539,51371409,571757903.5,10353797,495907,183627756
